id;start_time;end_time;is_returned
1;2024-06-02T16:50:56;2024-06-03T06:48:16;false
2;2024-06-03T07:22:00;2024-06-02T20:28:57;true
3;2024-06-02T14:01:11;2024-06-02T10:56:58;false
4;2024-06-02T15:52:29;2024-06-02T18:03:43;true
5;2024-06-02T18:09:42;2024-06-02T15:34:14;true
6;2024-06-02T19:41:09;2024-06-02T18:29:15;false
7;2024-06-02T19:16:53;2024-06-03T06:18:10;false
8;2024-06-02T11:24:17;2024-06-02T19:38:50;true
9;2024-06-03T06:15:30;2024-06-02T13:52:14;false
10;2024-06-03T05:25:26;2024-06-02T18:02:18;false
