id;start_time;end_time;is_checked_out
1;2024-06-02T18:20:38;2024-06-03T09:01:38;false
2;2024-06-03T08:49:33;2024-06-02T21:19:08;false
3;2024-06-03T03:53:36;2024-06-02T11:15:11;false
4;2024-06-03T09:27:15;2024-06-03T07:26:48;false
5;2024-06-02T16:13:09;2024-06-02T19:36:00;true
6;2024-06-03T05:53:17;2024-06-03T04:05:17;false
7;2024-06-02T17:58:49;2024-06-03T07:23:22;false
8;2024-06-03T06:05:09;2024-06-03T03:12:22;false
9;2024-06-02T13:33:02;2024-06-02T10:28:00;false
10;2024-06-03T02:20:33;2024-06-02T19:04:33;true
